"scientific_name","common_name","source"
"Ctenopharyngodon idellus","grass carp","FAO Cultured Aquatic Species Fact Sheets"
"Cybiosarda elegans","bonito","FDA The Seafood List, 2023/07/21"
"Cyclochila virens","northern greengrocer","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Cyclopsetta chittendeni","flounder","FDA The Seafood List, 2023/07/21"
"Cymbium olla","volute","FDA The Seafood List, 2023/07/21"
"Cynoscion acoupa","weakfish","FDA The Seafood List, 2023/07/21"
"Cynoscion othonopterus","croaker","FDA The Seafood List, 2023/07/21"
"Cynoscion parvipinnis","croaker","FDA The Seafood List, 2023/07/21"
"Cynoscion virescens","weakfish","FDA The Seafood List, 2023/07/21"
"Cypselurus agoo","flyingfish","FDA The Seafood List, 2023/07/21"
"Cypselurus comatus","flyingfish","FDA The Seafood List, 2023/07/21"
"Cypselurus simus","flyingfish","FDA The Seafood List, 2023/07/21"
"Cyriopagopus albostriatus","thailand zebra leg tarantula","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Cyrtodaria siliqua","propeller clam","FDA The Seafood List, 2023/07/21"
"Cyttus novaezealandiae","dory","FDA The Seafood List, 2023/07/21"
"Decapodiformes","squid","JL"
"Decapterus koheru","scad","FDA The Seafood List, 2023/07/21"
"Decapterus scombrinus","scad","FDA The Seafood List, 2023/07/21"
"Delphinidae","dolphin","JL"
"Dentex dentex","common dentex","SJ"
"Dentex tumifrons","sea bream","FDA The Seafood List, 2023/07/21"
"Diagramma labiosum","grunt","FDA The Seafood List, 2023/07/21"
"Dicentrarchus punctatus","seabass","FDA The Seafood List, 2023/07/21"
"Dinocardium robustum","cockle","FDA The Seafood List, 2023/07/21"
"Diodon","fugu fish","JL"
"Diodora aspera","limpet","FDA The Seafood List, 2023/07/21"
"Diplodus argenteus","porgy","FDA The Seafood List, 2023/07/21"
"Dipturus olseni","skate","FDA The Seafood List, 2023/07/21"
"Donax texasianus","coquina","FDA The Seafood List, 2023/07/21"
"Donax variabilis","coquina","FDA The Seafood List, 2023/07/21"
"Doryteuthis opalescens","squid","FDA The Seafood List, 2023/07/21"
"Doryteuthis pealeii","longfin inshore squid","SJ"
"Dosidicus gigas","giant calamari","FDA The Seafood List, 2023/07/21"
"Dytiscidae","predaceous diving beetles","JZ"
"Echidna peli","moray eel","FDA The Seafood List, 2023/07/21"
"Echinus esculentus","sea urchin","FDA The Seafood List, 2023/07/21"
"Elops affinis","ladyfish","FDA The Seafood List, 2023/07/21"
"Embassichthys bathybius","sole","FDA The Seafood List, 2023/07/21"
"Encosternum delegorguei","edible stink bug","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Encrasicholina purpurea","anchovy","FDA The Seafood List, 2023/07/21"
"Endoxyla leucomochla","witchetty grub","Newton, ""The Oldest Foods on Earth"""
"Engraulidae","anchovy","JL"
"Engraulis anchoita","argentine anchovy","SJ"
"Engraulis australis","anchovy","FDA The Seafood List, 2023/07/21"
"Ensis arcuatus","razor clam","FDA The Seafood List, 2023/07/21"
"Ensis directus","razor clam","FDA The Seafood List, 2023/07/21"
"Ensis ensis","razor clam","FDA The Seafood List, 2023/07/21"
"Ensis macha","razor clam","FDA The Seafood List, 2023/07/21"
"Ensis siliqua","razor clam","FDA The Seafood List, 2023/07/21"
"Enteroctopus dofleini","giant pacific octopus","SJ"
"Epigonus crassicaudus","cardinalfish","FDA The Seafood List, 2023/07/21"
"Epigonus telescopus","cardinalfish","FDA The Seafood List, 2023/07/21"
"Epinephelinae","grouper","JL"
